UDI,Product Name,Type of Analysis,Instrument ID,Room Air temperature [K],Instrument temperature [K],Instrument Usage_hours,Runs_since_PM,Component_age_days,Days_since_last_PM,PM_overdue_flag,Room_temp_stability_issue,Power_fluctuation_flag,Minor_alarm_counts,Past_incidents_count,Date of Observation
17,Diazepam,UV Spec,IR-2,298.6,309.2,1926,469,57,82,0,1,0,5,1,21-01-2026
18,Clopidogrel,Dissolution,HPLC-4,298.7,309.2,1604,282,800,36,0,0,0,9,5,06-03-2026
19,Atorvastatin,UV Spec,HPLC-5,298.8,309.2,662,42,568,150,0,0,0,4,2,25-12-2025
20,Diclofenac,Relative Substance,UV Spec-5,298.9,309.3,164,301,43,60,0,0,0,9,1,23-01-2026
21,Atorvastatin,Assay,HPLC-1,298.9,309.3,775,209,712,36,0,0,0,7,0,12-03-2026
22,Atorvastatin,Dissolution,Disso-4,298.8,309.3,938,279,245,3,0,0,0,0,4,06-02-2026
23,Ibuprofen,Dissolution,HPLC-2,298.9,309.3,241,411,450,119,1,0,0,6,1,01-01-2026
24,Ibuprofen,Dissolution,Disso-1,299,309.4,631,328,728,17,0,0,0,3,1,16-02-2026
25,Diclofenac,Assay,UV Spec-3,299,309.4,685,177,33,128,0,0,0,9,5,14-01-2026
26,Ibuprofen,Dissolution,UV Spec-2,299,309.5,748,437,124,117,0,0,0,1,2,12-02-2026
27,Diazepam,Assay,IR-3,299.1,309.5,911,4,452,157,0,0,0,4,5,17-01-2026
28,Diazepam,Dissolution,UV Spec-2,299.1,309.4,440,62,529,99,0,0,0,1,0,01-03-2026
29,Diclofenac,Relative Substance,IR-1,299.1,309.4,1225,235,477,125,0,0,0,3,3,21-02-2026
30,Ibuprofen,Relative Substance,UV Spec-5,299,309.4,1850,30,267,106,0,0,0,0,1,07-02-2026
31,Diazepam,Relative Substance,Disso-4,299.1,309.5,769,445,504,110,0,0,0,8,2,13-03-2026
32,Diclofenac,Dissolution,UV Spec-10,299,309.4,1175,279,168,44,0,0,0,0,2,25-01-2026
33,Atorvastatin,Dissolution,IR-1,299,309.4,1171,305,727,128,1,0,0,7,4,02-02-2026
34,Ibuprofen,Dissolution,Disso-3,298.9,309.3,1598,339,144,172,1,0,0,1,5,02-02-2026
35,Diclofenac,Relative Substance,Disso-6,298.8,309.1,135,298,488,91,0,1,0,3,3,25-02-2026
36,Ibuprofen,UV Spec,IR-3,298.8,309.2,1173,179,671,150,0,0,0,4,2,06-02-2026
37,Diazepam,Relative Substance,HPLC-4,298.9,309.2,729,343,581,74,0,0,0,9,2,05-01-2026
38,Diazepam,Dissolution,UV Spec-2,298.8,309.1,1197,86,42,99,0,0,0,2,5,23-12-2025
39,Diclofenac,UV Spec,HPLC-1,298.9,309.2,1439,172,338,161,1,0,0,1,1,15-02-2026
40,Diazepam,UV Spec,IR-3,298.8,309.1,1670,334,687,141,0,0,0,0,0,08-01-2026
41,Clopidogrel,Relative Substance,Disso-2,298.8,309.1,987,152,799,118,1,0,0,6,3,17-01-2026
42,Atorvastatin,Dissolution,IR-3,298.8,309.1,1224,327,19,93,0,0,0,6,4,08-01-2026
43,Diazepam,Assay,HPLC-3,298.8,309.1,908,119,64,15,0,0,0,9,4,03-01-2026
44,Diazepam,Dissolution,HPLC-1,298.8,309.2,782,423,123,149,0,1,0,3,5,05-01-2026
45,Ibuprofen,UV Spec,IR-1,298.8,309.1,175,8,119,50,1,0,0,4,3,12-02-2026
46,Atorvastatin,UV Spec,IR-3,298.8,309.1,820,46,370,33,0,0,0,10,0,30-12-2025
47,Diclofenac,Relative Substance,UV Spec-2,298.7,309,133,218,801,91,0,0,0,1,3,21-02-2026
48,Diclofenac,UV Spec,UV Spec-11,298.8,309.1,1516,461,285,64,0,0,0,0,2,20-03-2026
49,Ibuprofen,Dissolution,HPLC-2,298.8,309.2,1623,373,475,74,0,0,0,2,5,30-01-2026
50,Ibuprofen,Relative Substance,HPLC-7,298.9,309.2,176,421,339,131,0,0,0,6,3,23-01-2026
51,Diazepam,Dissolution,UV Spec-7,298.9,309.1,415,400,611,174,0,0,0,6,1,11-03-2026
52,Atorvastatin,UV Spec,UV Spec-2,298.9,309.1,641,177,392,163,1,0,0,2,3,19-01-2026
53,Diazepam,Assay,IR-3,298.8,309,878,269,179,51,0,0,0,3,5,27-01-2026
54,Atorvastatin,Dissolution,IR-1,298.7,309,1155,189,795,116,0,0,0,8,4,24-12-2025
55,Diazepam,Dissolution,Disso-1,298.7,309,1916,39,771,143,1,0,0,7,4,04-03-2026
56,Ibuprofen,Assay,IR-2,298.8,309.1,1925,319,742,132,1,0,0,2,4,18-01-2026
57,Ibuprofen,UV Spec,UV Spec-5,298.8,309.1,899,176,260,155,0,0,0,3,4,06-02-2026
58,Diclofenac,Relative Substance,HPLC-3,298.8,309.1,91,210,271,175,1,0,0,2,4,23-12-2025
59,Diazepam,UV Spec,UV Spec-5,298.8,309,541,292,384,155,0,0,0,6,2,06-01-2026
60,Diazepam,Dissolution,Disso-2,298.8,309.1,594,240,158,14,0,0,0,0,2,27-02-2026
61,Diclofenac,UV Spec,Disso-7,298.8,309.1,842,354,93,8,1,0,0,2,0,26-02-2026
62,Diazepam,UV Spec,Disso-7,298.8,309,375,405,23,151,1,0,0,7,5,16-01-2026
63,Diazepam,Dissolution,UV Spec-2,298.8,309,1082,119,707,134,0,0,0,7,0,02-03-2026
64,Atorvastatin,UV Spec,UV Spec-1,298.9,309,707,362,91,160,0,0,0,6,5,02-01-2026
65,Atorvastatin,UV Spec,HPLC-2,299,309.1,1276,344,310,15,0,0,0,5,0,10-03-2026
66,Diclofenac,Relative Substance,HPLC-3,299,309.1,112,318,772,6,0,0,0,6,4,21-01-2026
67,Diazepam,Dissolution,HPLC-6,298.9,308.9,197,56,459,92,0,0,0,7,2,27-02-2026
68,Atorvastatin,Assay,Disso-2,298.8,308.9,1329,335,426,171,1,1,0,1,0,16-01-2026
69,Diazepam,Relative Substance,IR-3,298.8,308.9,1745,160,262,79,0,0,0,10,5,28-12-2025
70,Atorvastatin,UV Spec,IR-1,298.9,309,968,98,152,105,1,0,0,2,0,25-01-2026
71,Clopidogrel,Assay,HPLC-1,298.9,309,224,319,750,150,0,0,0,6,2,23-12-2025
72,Clopidogrel,UV Spec,Disso-1,298.9,309.1,1188,419,710,152,1,0,0,9,5,10-03-2026
73,Clopidogrel,UV Spec,UV Spec-7,298.9,309.1,1771,73,63,42,0,0,0,6,2,02-03-2026
74,Diazepam,Dissolution,Disso-3,299,309.1,329,322,260,162,0,0,0,3,1,21-12-2025
75,Atorvastatin,Relative Substance,IR-2,298.9,309,905,30,763,52,0,0,0,6,4,21-02-2026
76,Diclofenac,Assay,IR-1,298.8,308.9,1598,413,607,125,1,1,1,2,5,28-01-2026
77,Ibuprofen,Dissolution,Disso-3,298.8,308.9,1728,72,840,61,0,0,0,6,1,19-01-2026
78,Diclofenac,Relative Substance,IR-2,298.8,308.9,332,276,24,56,0,0,0,7,1,06-01-2026
79,Clopidogrel,Relative Substance,IR-2,298.8,308.9,1447,73,267,90,0,0,0,3,3,18-02-2026
80,Clopidogrel,UV Spec,IR-3,298.8,308.9,1401,473,111,147,1,1,0,4,4,26-01-2026
81,Ibuprofen,Assay,IR-1,298.8,308.8,315,465,519,98,0,0,0,9,4,07-03-2026
82,Diclofenac,UV Spec,Disso-4,298.9,308.9,752,57,825,171,0,0,0,4,5,13-02-2026
83,Atorvastatin,Relative Substance,IR-3,298.9,308.9,96,12,330,24,0,0,0,6,5,08-03-2026
84,Clopidogrel,Dissolution,HPLC-6,299,309,735,70,857,71,0,0,0,6,3,30-01-2026
85,Ibuprofen,Relative Substance,HPLC-1,298.9,308.9,364,394,138,145,0,0,0,7,4,18-03-2026
86,Diclofenac,Dissolution,IR-2,299,309,554,337,456,149,1,0,0,9,0,31-01-2026
87,Diazepam,Relative Substance,IR-3,299,309,1711,127,418,107,0,1,0,10,0,03-02-2026
88,Diazepam,Assay,IR-2,299,309,150,470,469,132,1,0,0,9,3,06-02-2026
89,Atorvastatin,UV Spec,UV Spec-3,299,309,886,182,277,180,1,0,0,3,3,18-03-2026
90,Diclofenac,Dissolution,HPLC-4,298.9,308.9,1502,488,479,129,0,0,0,9,0,09-01-2026
91,Diclofenac,UV Spec,IR-3,298.9,308.9,694,474,483,6,0,0,0,5,3,25-02-2026
92,Diazepam,Dissolution,UV Spec-11,298.9,308.9,582,485,801,19,0,0,0,1,2,19-02-2026
93,Ibuprofen,Relative Substance,HPLC-6,298.9,308.9,1243,185,430,172,0,0,0,5,3,31-01-2026
94,Diazepam,Dissolution,IR-3,299.1,309,1107,102,394,58,0,0,0,9,5,14-02-2026
95,Diazepam,Dissolution,Disso-2,299,308.9,149,46,613,136,0,0,0,8,5,11-01-2026
96,Diclofenac,Relative Substance,Disso-7,299,309,716,335,55,145,0,0,0,2,1,04-02-2026
97,Diazepam,Relative Substance,UV Spec-9,299,309,51,345,345,22,0,0,0,4,1,06-02-2026
98,Diazepam,Relative Substance,Disso-5,298.9,308.9,1864,296,397,41,0,0,0,8,3,15-01-2026
99,Diazepam,Relative Substance,UV Spec-7,298.9,308.8,687,233,494,150,0,0,0,7,3,01-02-2026
100,Diazepam,Dissolution,Disso-7,298.8,308.8,758,268,845,73,0,0,0,10,1,12-02-2026
101,Clopidogrel,Dissolution,UV Spec-8,298.8,308.9,1037,181,364,164,0,0,0,1,3,27-01-2026
102,Diazepam,Assay,IR-1,298.8,308.8,674,3,430,123,0,0,0,8,2,12-03-2026
103,Diclofenac,UV Spec,Disso-1,298.8,308.8,1419,86,24,143,0,0,0,2,0,28-01-2026
104,Diclofenac,UV Spec,HPLC-6,298.8,308.8,1507,155,792,56,0,0,0,6,0,30-01-2026
105,Clopidogrel,Assay,Disso-1,298.8,308.7,1468,78,311,135,0,0,0,6,5,25-12-2025
106,Clopidogrel,UV Spec,IR-1,298.8,308.7,802,202,616,109,0,1,0,0,5,16-03-2026
107,Diclofenac,Relative Substance,IR-2,298.8,308.7,1515,490,520,123,0,0,0,0,1,15-01-2026
108,Atorvastatin,Dissolution,HPLC-1,298.8,308.8,505,122,388,22,1,0,0,8,5,25-12-2025
109,Diazepam,UV Spec,Disso-6,298.9,308.8,217,321,837,130,0,0,0,1,0,06-02-2026
110,Atorvastatin,Dissolution,UV Spec-4,298.9,308.7,719,356,447,66,1,0,0,3,1,15-03-2026
111,Ibuprofen,Relative Substance,Disso-7,298.8,308.6,331,111,814,95,0,0,0,7,4,18-01-2026
112,Ibuprofen,Dissolution,UV Spec-1,298.7,308.6,576,329,627,109,0,0,0,7,5,12-03-2026
113,Diclofenac,Assay,UV Spec-2,298.8,308.7,1616,477,483,105,0,0,0,8,4,16-03-2026
114,Clopidogrel,Relative Substance,HPLC-4,298.8,308.6,1585,107,38,91,1,0,0,4,0,10-02-2026
115,Clopidogrel,Assay,Disso-2,298.8,308.6,812,16,439,178,0,0,0,3,1,07-03-2026
116,Diclofenac,Relative Substance,UV Spec-11,298.8,308.6,417,96,127,117,0,0,0,7,5,08-01-2026
117,Atorvastatin,Relative Substance,Disso-1,298.9,308.7,1807,226,169,122,0,0,0,10,0,05-02-2026
118,Ibuprofen,UV Spec,HPLC-7,298.8,308.6,1023,268,699,54,0,0,0,1,1,25-02-2026
119,Atorvastatin,UV Spec,IR-1,298.8,308.6,1340,372,347,33,1,0,0,3,0,27-01-2026
120,Clopidogrel,UV Spec,UV Spec-4,298.7,308.5,1275,128,321,13,0,0,0,9,1,18-02-2026
121,Diclofenac,UV Spec,HPLC-6,298.9,308.7,1463,88,271,55,0,0,0,1,4,14-01-2026
122,Diclofenac,Assay,UV Spec-6,298.9,308.7,1567,343,866,95,0,1,0,7,1,17-02-2026
123,Ibuprofen,Relative Substance,IR-1,299,308.8,1712,89,571,76,0,0,1,8,2,16-01-2026
124,Ibuprofen,Dissolution,IR-2,298.9,308.7,713,371,304,144,0,0,0,6,1,07-01-2026
125,Clopidogrel,Dissolution,HPLC-1,298.9,308.7,914,427,224,146,0,0,0,9,5,03-02-2026
126,Atorvastatin,Assay,UV Spec-6,298.9,308.6,1418,205,148,96,0,0,1,9,3,26-01-2026
127,Atorvastatin,Relative Substance,IR-1,299,308.6,580,495,668,13,0,0,0,4,5,04-01-2026
128,Diazepam,Assay,UV Spec-3,298.9,308.6,1725,340,82,149,0,0,1,7,4,16-02-2026
129,Ibuprofen,UV Spec,IR-2,299,308.6,1353,170,534,110,0,1,0,8,1,15-01-2026
130,Diclofenac,Relative Substance,Disso-4,298.9,308.5,518,498,477,107,0,1,1,8,4,26-12-2025
131,Ibuprofen,Assay,HPLC-2,298.8,308.4,488,213,618,55,0,1,1,6,2,05-02-2026
132,Atorvastatin,UV Spec,Disso-4,298.8,308.4,1381,490,449,55,0,0,1,7,4,04-02-2026
133,Diazepam,UV Spec,Disso-5,298.7,308.4,1510,77,437,105,1,0,0,5,3,02-02-2026
134,Diclofenac,Relative Substance,HPLC-6,298.7,308.4,1569,178,520,108,0,0,0,7,1,04-03-2026
135,Atorvastatin,UV Spec,UV Spec-9,298.8,308.4,1790,478,864,60,0,0,0,4,3,06-02-2026
136,Ibuprofen,Assay,HPLC-1,298.8,308.5,1833,325,645,70,0,0,0,9,2,29-12-2025
137,Diazepam,Assay,UV Spec-7,298.7,308.5,1429,243,240,104,0,0,0,7,0,12-02-2026
138,Ibuprofen,Dissolution,UV Spec-6,298.7,308.6,848,168,417,174,0,0,0,1,1,17-01-2026
139,Ibuprofen,UV Spec,UV Spec-5,298.8,308.6,1700,412,71,18,0,0,0,7,0,30-01-2026
140,Diclofenac,Assay,UV Spec-11,298.8,308.6,281,143,648,49,0,0,0,8,2,11-01-2026
141,Diclofenac,UV Spec,Disso-2,298.8,308.6,273,403,527,23,1,0,1,2,1,08-03-2026
142,Atorvastatin,UV Spec,Disso-7,298.7,308.5,1372,310,508,64,1,0,0,4,0,12-02-2026
143,Diclofenac,Assay,Disso-2,298.6,308.4,608,217,617,155,0,0,0,10,4,18-03-2026
144,Diclofenac,Dissolution,Disso-4,298.6,308.4,1598,292,779,162,0,0,0,1,5,24-02-2026
145,Ibuprofen,Assay,UV Spec-10,298.6,308.4,426,437,562,106,1,0,0,9,3,17-03-2026
146,Diazepam,UV Spec,Disso-2,298.5,308.4,700,420,382,43,0,0,0,0,5,05-02-2026
147,Ibuprofen,UV Spec,UV Spec-7,298.5,308.4,894,180,182,42,0,0,0,0,4,29-12-2025
148,Diclofenac,UV Spec,IR-2,298.4,308.4,860,210,206,142,0,0,0,2,2,01-03-2026
149,Diazepam,Relative Substance,IR-3,298.3,308.3,1120,440,77,145,0,0,0,3,0,01-02-2026
150,Diazepam,Assay,Disso-3,298.4,308.3,427,50,756,22,0,0,0,8,5,07-01-2026
151,Diazepam,Assay,Disso-5,298.4,308.3,55,176,732,43,1,1,0,4,4,02-02-2026
152,Atorvastatin,UV Spec,HPLC-5,298.4,308.2,1289,106,644,51,1,0,0,1,5,19-03-2026
153,Diazepam,UV Spec,IR-2,298.4,308.2,549,412,189,133,0,0,0,8,5,12-01-2026
154,Diclofenac,Dissolution,Disso-2,298.4,308.2,1584,496,651,88,0,0,0,10,1,09-02-2026
155,Diclofenac,UV Spec,IR-1,298.4,308.2,1496,18,558,100,0,0,0,5,5,10-01-2026
156,Ibuprofen,Relative Substance,IR-1,298.4,308.2,1810,130,297,97,0,0,0,6,1,26-02-2026
157,Ibuprofen,Dissolution,Disso-7,298.4,308.1,1924,344,701,149,0,0,0,9,2,26-01-2026
158,Diazepam,Dissolution,UV Spec-2,298.4,308.2,1766,419,760,17,1,0,0,2,5,12-03-2026
159,Clopidogrel,UV Spec,UV Spec-6,298.4,308.2,339,67,175,120,0,0,0,5,1,14-01-2026
160,Ibuprofen,Relative Substance,Disso-3,298.4,308.2,197,356,523,17,0,1,0,3,2,24-12-2025
161,Ibuprofen,Assay,IR-3,298.4,308.2,1678,98,242,9,0,0,0,6,4,05-02-2026
162,Atorvastatin,Dissolution,HPLC-1,298.3,308.1,1706,189,161,80,0,0,0,4,2,09-03-2026
163,Diazepam,Dissolution,UV Spec-10,298.3,308.1,170,270,836,179,0,0,0,7,3,18-01-2026
164,Ibuprofen,UV Spec,IR-1,298.4,308.2,1011,466,479,141,0,0,0,5,1,19-02-2026
165,Diclofenac,Relative Substance,IR-1,298.5,308.3,1947,309,535,9,0,0,0,6,5,21-02-2026
166,Diclofenac,UV Spec,HPLC-4,298.5,308.4,885,117,334,154,1,0,0,7,0,26-01-2026
167,Ibuprofen,UV Spec,HPLC-5,298.4,308.2,1826,17,865,105,0,0,0,3,5,01-02-2026
168,Ibuprofen,Relative Substance,HPLC-7,298.4,308.3,1048,20,222,139,0,0,0,2,1,15-01-2026
169,Ibuprofen,Assay,UV Spec-6,298.4,308.3,1364,132,263,152,0,0,0,5,4,23-12-2025
170,Clopidogrel,Dissolution,UV Spec-3,298.4,308.3,899,297,462,143,0,0,0,3,1,02-03-2026
171,Clopidogrel,Dissolution,UV Spec-8,298.4,308.2,1034,44,651,15,0,1,0,2,1,01-03-2026
172,Diclofenac,UV Spec,HPLC-7,298.2,308.1,326,284,19,115,0,0,0,9,2,27-01-2026
173,Clopidogrel,Dissolution,UV Spec-4,298.1,308,1046,76,839,55,0,0,0,10,1,01-03-2026
174,Atorvastatin,Relative Substance,Disso-7,298.2,308,798,98,762,160,0,0,0,0,2,14-03-2026
175,Ibuprofen,Assay,UV Spec-6,298.2,308.1,833,416,438,118,0,0,0,4,0,16-01-2026
176,Clopidogrel,UV Spec,UV Spec-9,298.2,308.1,804,102,427,108,0,0,0,4,5,06-02-2026
177,Diclofenac,Assay,Disso-2,298.2,308.1,272,415,614,93,1,0,0,10,2,15-02-2026
178,Atorvastatin,Dissolution,HPLC-6,298.2,308.2,1744,441,221,140,0,0,0,0,3,01-01-2026
179,Clopidogrel,Relative Substance,HPLC-7,298.2,308.2,1265,315,397,7,0,1,0,5,2,27-02-2026
180,Atorvastatin,Assay,IR-2,298.2,308.3,298,223,658,80,0,0,0,7,5,03-03-2026
181,Atorvastatin,Relative Substance,UV Spec-7,298.2,308.3,434,125,857,5,0,0,0,4,0,14-01-2026
182,Diazepam,Dissolution,IR-2,298.2,308.3,618,40,445,112,0,0,0,9,1,04-01-2026
183,Clopidogrel,UV Spec,HPLC-2,298.1,308.2,1941,390,657,163,0,1,0,2,4,18-02-2026
184,Diclofenac,Dissolution,IR-3,298.1,308.2,1586,417,704,165,0,1,0,0,0,31-12-2025
185,Ibuprofen,UV Spec,IR-3,298.2,308.2,1101,242,528,3,0,0,0,1,2,30-01-2026
186,Ibuprofen,Dissolution,HPLC-6,298.2,308.2,1396,151,504,9,0,0,0,3,3,11-01-2026
187,Atorvastatin,Relative Substance,UV Spec-9,298.1,308.3,740,481,440,147,1,0,0,4,0,25-12-2025
188,Atorvastatin,Assay,IR-3,298.2,308.4,1037,353,17,179,0,0,0,10,4,26-01-2026
189,Diclofenac,Dissolution,IR-1,298.3,308.5,154,250,844,159,0,0,0,0,3,15-01-2026
190,Atorvastatin,Dissolution,IR-3,298.3,308.4,1122,129,411,135,0,0,0,7,2,08-02-2026
191,Clopidogrel,Relative Substance,Disso-2,298.2,308.4,1932,42,598,113,0,0,0,2,4,13-01-2026
192,Ibuprofen,Dissolution,HPLC-1,298.2,308.4,1888,388,15,127,0,0,0,9,0,01-03-2026
193,Diazepam,Assay,Disso-4,298.2,308.4,277,393,132,20,0,0,0,4,4,04-01-2026
194,Clopidogrel,UV Spec,Disso-5,298.2,308.4,1630,328,741,178,1,1,0,9,3,19-02-2026
195,Ibuprofen,Dissolution,UV Spec-4,298.2,308.5,670,127,193,140,0,0,0,2,5,19-02-2026
196,Ibuprofen,Relative Substance,UV Spec-5,298.3,308.5,1403,271,321,120,0,0,0,1,5,28-12-2025
197,Atorvastatin,Dissolution,IR-3,298.3,308.6,1936,439,408,171,0,1,0,10,1,24-12-2025
198,Clopidogrel,Assay,UV Spec-9,298.4,308.6,876,129,277,101,0,1,0,3,4,08-03-2026
199,Clopidogrel,Assay,HPLC-3,298.4,308.7,1217,226,272,106,0,0,1,9,5,05-02-2026
200,Ibuprofen,Dissolution,HPLC-3,298.4,308.6,679,406,500,59,0,0,0,2,3,13-01-2026
201,Atorvastatin,UV Spec,Disso-5,298.4,308.6,1259,238,607,37,0,1,0,6,5,26-02-2026
202,Diclofenac,Relative Substance,UV Spec-2,298.3,308.5,1748,193,627,163,1,0,1,3,0,15-02-2026
203,Diazepam,Relative Substance,HPLC-4,298.4,308.5,667,299,278,124,0,0,1,5,0,06-01-2026
204,Clopidogrel,Assay,Disso-1,298.4,308.5,1525,123,416,35,0,0,0,1,5,02-01-2026
205,Ibuprofen,Assay,Disso-4,298.4,308.5,1084,331,868,39,0,0,0,5,4,20-03-2026
206,Ibuprofen,Dissolution,Disso-3,298.5,308.6,1847,3,806,94,0,0,0,9,4,24-01-2026
207,Clopidogrel,Relative Substance,UV Spec-8,298.5,308.7,536,224,243,70,1,0,0,3,5,11-03-2026
208,Clopidogrel,Dissolution,HPLC-3,298.4,308.7,1666,313,583,11,0,0,0,8,3,21-03-2026
209,Ibuprofen,Dissolution,Disso-6,298.4,308.6,588,103,174,101,0,0,0,1,5,27-02-2026
210,Diclofenac,UV Spec,HPLC-3,298.4,308.6,1344,457,283,154,0,0,0,9,4,06-03-2026
211,Ibuprofen,Assay,Disso-5,298.4,308.7,1903,470,258,43,1,0,0,5,1,17-01-2026
212,Diclofenac,Dissolution,IR-2,298.5,308.7,1403,435,278,32,1,0,0,6,3,03-03-2026
213,Ibuprofen,Relative Substance,IR-3,298.4,308.7,1641,281,548,157,0,0,0,8,0,21-03-2026
214,Clopidogrel,Dissolution,HPLC-6,298.4,308.7,463,299,337,40,0,0,0,9,5,01-02-2026
215,Diclofenac,Assay,UV Spec-6,298.3,308.6,869,348,479,126,0,0,0,6,2,13-02-2026
216,Ibuprofen,UV Spec,Disso-7,298.3,308.6,742,368,859,130,0,0,0,2,3,12-03-2026
217,Clopidogrel,UV Spec,Disso-2,298.3,308.6,1297,448,779,33,1,0,0,10,3,21-01-2026
218,Ibuprofen,UV Spec,Disso-5,298.3,308.5,1818,457,843,58,0,0,0,5,3,09-02-2026
219,Diazepam,Assay,UV Spec-9,298.3,308.6,1594,276,527,131,0,0,0,3,4,09-02-2026
220,Diazepam,UV Spec,Disso-6,298.3,308.5,786,45,781,50,0,0,0,0,0,26-02-2026
221,Diclofenac,Assay,HPLC-3,298.3,308.5,647,429,745,90,0,0,0,6,3,29-12-2025
222,Clopidogrel,Assay,IR-1,298.4,308.5,1556,173,297,68,0,1,0,6,2,03-02-2026
223,Ibuprofen,UV Spec,Disso-6,298.4,308.6,1031,12,724,99,0,0,0,2,2,09-03-2026
224,Diazepam,Assay,HPLC-5,298.4,308.6,973,266,799,30,0,0,0,9,4,06-03-2026
225,Ibuprofen,Assay,UV Spec-5,298.3,308.6,302,312,424,54,1,0,0,1,5,02-01-2026
226,Diazepam,Relative Substance,HPLC-7,298.3,308.5,501,114,503,173,0,1,0,1,4,25-01-2026
227,Diazepam,Relative Substance,Disso-4,298.3,308.4,537,487,818,163,0,1,0,6,2,28-02-2026
228,Diazepam,Relative Substance,HPLC-4,298.3,308.5,322,302,284,160,0,0,0,4,2,27-01-2026
229,Diclofenac,Assay,HPLC-5,298.3,308.5,1135,290,733,53,1,0,0,8,2,22-01-2026
230,Ibuprofen,Assay,IR-1,298.3,308.5,1059,10,485,168,0,0,0,8,4,22-01-2026
231,Diazepam,Dissolution,Disso-2,298.3,308.6,962,150,620,120,0,1,0,6,5,30-01-2026
232,Ibuprofen,Assay,Disso-2,298.3,308.4,1872,172,221,110,0,1,0,7,5,20-02-2026
233,Clopidogrel,Relative Substance,HPLC-4,298.2,308.4,506,437,165,66,0,1,0,6,4,07-03-2026
234,Diazepam,Dissolution,HPLC-5,298.2,308.4,1105,258,21,93,0,0,0,9,4,21-02-2026
235,Clopidogrel,Dissolution,Disso-1,298.2,308.4,1552,484,394,124,0,0,0,9,5,25-12-2025
236,Diazepam,Assay,Disso-3,298.1,308.3,489,97,622,126,0,0,0,10,2,07-01-2026
237,Atorvastatin,UV Spec,UV Spec-6,298.1,308.3,642,418,710,5,0,0,0,0,4,07-01-2026
238,Atorvastatin,UV Spec,UV Spec-6,298,308.1,1343,489,598,168,0,0,0,3,4,11-01-2026
239,Diclofenac,UV Spec,HPLC-7,297.9,308.1,292,275,111,35,1,0,0,10,0,13-01-2026
240,Diclofenac,Relative Substance,UV Spec-10,298,308.2,104,295,541,143,0,0,0,6,4,06-02-2026
241,Atorvastatin,UV Spec,Disso-6,298,308.1,614,322,470,12,0,0,0,2,1,24-02-2026
242,Ibuprofen,Assay,Disso-5,298,308.1,257,171,745,113,0,0,0,0,2,15-02-2026
243,Atorvastatin,Assay,HPLC-4,298,308.2,1315,284,195,57,0,1,0,5,3,21-12-2025
244,Clopidogrel,UV Spec,HPLC-6,298,308.2,233,250,547,57,1,0,0,5,2,17-01-2026
245,Ibuprofen,UV Spec,UV Spec-6,298,308.2,1690,265,209,142,0,0,0,5,0,02-03-2026
246,Diclofenac,Relative Substance,UV Spec-11,297.9,308.1,1174,25,537,33,1,0,0,5,2,16-03-2026
247,Clopidogrel,Dissolution,HPLC-5,297.9,308.1,109,107,377,1,1,0,0,10,4,10-01-2026
248,Atorvastatin,Assay,Disso-1,298,308.2,1685,279,878,139,0,0,0,6,0,09-01-2026
249,Atorvastatin,Relative Substance,UV Spec-9,298,308.3,696,201,547,145,0,0,0,10,2,07-03-2026
250,Atorvastatin,Relative Substance,Disso-6,298,308.3,1774,268,487,60,0,0,0,7,4,08-03-2026
